Channel Post ID,Short Link,Long Link
1004815291702960000,https://t.co/bZ3n0JPpwx,https://www.jnj.com/innovation/6-super-sustainable-johnson-johnson-sites-around-the-world
1004847171643070000,https://t.co/79r7GnWCbC,https://cheddar.com/videos/johnson-and-johnsons-commitment-to-health-for-humanity
1005087091418690000,https://t.co/1Ws1B5wRKe,https://www.jnj.com/caring-and-giving/tech-for-moms-how-babycenter-is-helping-raise-healthy-children-globally
1005102185661810000,https://t.co/KpQNQqGI93,https://www.jnj.com/innovation/this-johnson-johnson-patent-holder-is-helping-save-the-planet
1005117306920470000,https://t.co/oXMxHcboe1,https://www.jnj.com/health-and-wellness/health-benefits-of-5-minute-walk-breaks-at-work
1005132385959260000,https://t.co/vg4soqIxWr,https://www.jnj.com/caring-and-giving/tech-for-moms-how-babycenter-is-helping-raise-healthy-children-globally
1005132443358250000,https://t.co/qGVrovHkhW,error
1005147480676330000,https://t.co/qVJVP4PeyM,https://www.jnj.com/innovation/this-johnson-johnson-patent-holder-is-helping-save-the-planet
1005162589091950000,https://t.co/aUxJ7huRsd,https://www.nytimes.com/2018/06/05/well/move/05EASIER-7MINUTE.html
1005177670978670000,https://t.co/HGcLzVl3jc,https://www.jnj.com/our-heritage/earth-day-spotlight-8-creative-ways-johnson-johnson-has-been-recycling-since-1886
1005479687701840000,https://t.co/N3oSDXENcM,https://www.jnj.com/health-and-wellness/12-simple-health-and-wellness-tips-2018
1005494769013880000,https://t.co/LxRq4d6eFE,https://www.jnj.com/health-and-wellness/12-simple-health-and-wellness-tips-2018
1005509862535590000,https://t.co/z1y9jgcidq,https://www.jnj.com/health-and-wellness/4-things-that-could-help-you-survive-a-stroke-plus-symptoms-to-know
1005524959018570000,https://t.co/w4HZHrhKGc,https://www.jnj.com/innovation/johnson-and-johnson-leading-fight-to-prevent-cyberattacks
1005540058248730000,https://t.co/WcacovaezS,https://www.jnj.com/innovation/johnson-and-johnson-leading-fight-to-prevent-cyberattacks
1005540060316490000,https://t.co/YT6okea92T,https://www.jnj.com/health-and-wellness/4-things-that-could-help-you-survive-a-stroke-plus-symptoms-to-know
1005842061373980000,https://t.co/TrDsSVzo4b,https://www.jnj.com/our-heritage/why-johnson-and-johnson-once-had-a-sausage-casing-business-devro
1005857147811450000,https://t.co/ATGoaFpLxd,https://www.jnj.com/our-heritage/8-fun-facts-about-the-johnson-johnson-credo
1005872248283120000,https://t.co/StxKM01QZ6,https://www.jnj.com/innovation/how-johnson-johnson-is-helping-pave-the-way-for-women-in-stem
1005887349287470000,https://t.co/kvrQ49TnNP,https://www.jnj.com/our-heritage/why-johnson-and-johnson-once-had-a-sausage-casing-business-devro
1005902443664810000,https://t.co/PvK4DoASPp,https://www.jnj.com/innovation/how-johnson-johnson-is-helping-pave-the-way-for-women-in-stem
1005902443522280000,https://t.co/McwFpSuu2P,https://www.jnj.com/our-heritage/8-fun-facts-about-the-johnson-johnson-credo
1006200402281450000,https://t.co/XxTR5dvL3b,https://www.witi.com/conferences/2018/summit/schedule.php
1006204480109600000,https://t.co/BAwdNZg2Do,https://www.jnj.com/health-and-wellness/5-prostate-cancer-facts-and-tips
1006211993773030000,https://t.co/CGSXi8Ljwr,https://www.jnj.com/health-and-wellness/the-brain-boosting-secret-every-parent-of-a-baby-should-know-massage
1006227084732260000,https://t.co/KWg3sv7MNx,https://www.jnj.com/personal-stories/i-almost-died-of-melanoma-3-stories-of-recovery-and-lessons-learned
1006234646265360000,https://t.co/ZeiXPDxtUB,https://www.jnj.com/health-and-wellness/the-brain-boosting-secret-every-parent-of-a-baby-should-know-massage
1006249741112480000,No Link,No Link
1006249747253020000,https://t.co/BQrs12kx9M,https://www.jnj.com/health-and-wellness/5-prostate-cancer-facts-and-tips
1006264839663210000,https://t.co/StRpk9JJ8T,https://www.jnj.com/personal-stories/i-almost-died-of-melanoma-3-stories-of-recovery-and-lessons-learned
1006536637675960000,https://t.co/5MzhGDcyhw,https://www.jnj.com/personal-stories/the-road-to-devex-aya-mouallem-discusses-her-stem-program-for-girls
1006566837272920000,https://t.co/Fxdk9Vvles,https://www.jnj.com/personal-stories/the-road-to-devex-aya-mouallem-discusses-her-stem-program-for-girls
